"remoteness","hospitalisations","Year","indigenous_status"
"Major_Cities",368,2011,"First Nations"
"Regional",455,2011,"First Nations"
"Remote",330,2011,"First Nations"
"Major_Cities",429,2012,"First Nations"
"Regional",545,2012,"First Nations"
"Remote",426,2012,"First Nations"
"Major_Cities",446,2013,"First Nations"
"Regional",540,2013,"First Nations"
"Remote",420,2013,"First Nations"
"Major_Cities",486,2014,"First Nations"
"Regional",565,2014,"First Nations"
"Remote",392,2014,"First Nations"
"Major_Cities",508,2015,"First Nations"
"Regional",613,2015,"First Nations"
"Remote",461,2015,"First Nations"
"Major_Cities",551,2016,"First Nations"
"Regional",648,2016,"First Nations"
"Remote",454,2016,"First Nations"
"Major_Cities",617,2017,"First Nations"
"Regional",704,2017,"First Nations"
"Remote",393,2017,"First Nations"
"Major_Cities",642,2018,"First Nations"
"Regional",797,2018,"First Nations"
"Remote",466,2018,"First Nations"
"Major_Cities",708,2019,"First Nations"
"Regional",669,2019,"First Nations"
"Remote",447,2019,"First Nations"
"Major_Cities",810,2020,"First Nations"
"Regional",946,2020,"First Nations"
"Remote",504,2020,"First Nations"
"Major_Cities",795,2021,"First Nations"
"Regional",885,2021,"First Nations"
"Remote",503,2021,"First Nations"
"Major_Cities",20985,2011,"Non-Indigenous"
"Regional",9717,2011,"Non-Indigenous"
"Remote",789,2011,"Non-Indigenous"
"Major_Cities",20858,2012,"Non-Indigenous"
"Regional",9536,2012,"Non-Indigenous"
"Remote",802,2012,"Non-Indigenous"
"Major_Cities",22224,2013,"Non-Indigenous"
"Regional",9218,2013,"Non-Indigenous"
"Remote",765,2013,"Non-Indigenous"
"Major_Cities",22572,2014,"Non-Indigenous"
"Regional",9358,2014,"Non-Indigenous"
"Remote",737,2014,"Non-Indigenous"
"Major_Cities",23597,2015,"Non-Indigenous"
"Regional",9684,2015,"Non-Indigenous"
"Remote",694,2015,"Non-Indigenous"
"Major_Cities",25390,2016,"Non-Indigenous"
"Regional",9846,2016,"Non-Indigenous"
"Remote",678,2016,"Non-Indigenous"
"Major_Cities",25288,2017,"Non-Indigenous"
"Regional",10163,2017,"Non-Indigenous"
"Remote",653,2017,"Non-Indigenous"
"Major_Cities",25236,2018,"Non-Indigenous"
"Regional",10278,2018,"Non-Indigenous"
"Remote",720,2018,"Non-Indigenous"
"Major_Cities",25502,2019,"Non-Indigenous"
"Regional",10232,2019,"Non-Indigenous"
"Remote",638,2019,"Non-Indigenous"
"Major_Cities",23823,2020,"Non-Indigenous"
"Regional",9936,2020,"Non-Indigenous"
"Remote",660,2020,"Non-Indigenous"
"Major_Cities",25254,2021,"Non-Indigenous"
"Regional",10332,2021,"Non-Indigenous"
"Remote",600,2021,"Non-Indigenous"
