"road_user","hospitalisations","year","indigenous_status"
"car",617,2011,"First Nations"
"moto",187,2011,"First Nations"
"cycle",121,2011,"First Nations"
"ped",180,2011,"First Nations"
"car",758,2012,"First Nations"
"moto",218,2012,"First Nations"
"cycle",152,2012,"First Nations"
"ped",219,2012,"First Nations"
"car",755,2013,"First Nations"
"moto",267,2013,"First Nations"
"cycle",173,2013,"First Nations"
"ped",166,2013,"First Nations"
"car",759,2014,"First Nations"
"moto",254,2014,"First Nations"
"cycle",177,2014,"First Nations"
"ped",196,2014,"First Nations"
"car",883,2015,"First Nations"
"moto",273,2015,"First Nations"
"cycle",177,2015,"First Nations"
"ped",206,2015,"First Nations"
"car",928,2016,"First Nations"
"moto",296,2016,"First Nations"
"cycle",190,2016,"First Nations"
"ped",190,2016,"First Nations"
"car",938,2017,"First Nations"
"moto",319,2017,"First Nations"
"cycle",201,2017,"First Nations"
"ped",209,2017,"First Nations"
"car",1113,2018,"First Nations"
"moto",333,2018,"First Nations"
"cycle",199,2018,"First Nations"
"ped",209,2018,"First Nations"
"car",996,2019,"First Nations"
"moto",353,2019,"First Nations"
"cycle",240,2019,"First Nations"
"ped",211,2019,"First Nations"
"car",1208,2020,"First Nations"
"moto",545,2020,"First Nations"
"cycle",230,2020,"First Nations"
"ped",223,2020,"First Nations"
"car",1158,2021,"First Nations"
"moto",520,2021,"First Nations"
"cycle",207,2021,"First Nations"
"ped",235,2021,"First Nations"
"car",15597,2011,"Non-Indigenous"
"moto",7185,2011,"Non-Indigenous"
"cycle",5174,2011,"Non-Indigenous"
"ped",2522,2011,"Non-Indigenous"
"car",15250,2012,"Non-Indigenous"
"moto",7348,2012,"Non-Indigenous"
"cycle",5379,2012,"Non-Indigenous"
"ped",2390,2012,"Non-Indigenous"
"car",15439,2013,"Non-Indigenous"
"moto",7617,2013,"Non-Indigenous"
"cycle",5985,2013,"Non-Indigenous"
"ped",2409,2013,"Non-Indigenous"
"car",15363,2014,"Non-Indigenous"
"moto",7919,2014,"Non-Indigenous"
"cycle",6354,2014,"Non-Indigenous"
"ped",2316,2014,"Non-Indigenous"
"car",16692,2015,"Non-Indigenous"
"moto",7855,2015,"Non-Indigenous"
"cycle",6435,2015,"Non-Indigenous"
"ped",2378,2015,"Non-Indigenous"
"car",17872,2016,"Non-Indigenous"
"moto",8111,2016,"Non-Indigenous"
"cycle",6613,2016,"Non-Indigenous"
"ped",2514,2016,"Non-Indigenous"
"car",17901,2017,"Non-Indigenous"
"moto",8318,2017,"Non-Indigenous"
"cycle",6782,2017,"Non-Indigenous"
"ped",2465,2017,"Non-Indigenous"
"car",18337,2018,"Non-Indigenous"
"moto",8200,2018,"Non-Indigenous"
"cycle",6676,2018,"Non-Indigenous"
"ped",2412,2018,"Non-Indigenous"
"car",18006,2019,"Non-Indigenous"
"moto",8463,2019,"Non-Indigenous"
"cycle",6984,2019,"Non-Indigenous"
"ped",2461,2019,"Non-Indigenous"
"car",15843,2020,"Non-Indigenous"
"moto",8038,2020,"Non-Indigenous"
"cycle",8012,2020,"Non-Indigenous"
"ped",1857,2020,"Non-Indigenous"
"car",17098,2021,"Non-Indigenous"
"moto",8259,2021,"Non-Indigenous"
"cycle",7861,2021,"Non-Indigenous"
"ped",2072,2021,"Non-Indigenous"
